x prob_density
-2.000000e+00 4.455507e-09
-1.995749e+00 4.523409e-09
-1.991498e+00 4.592316e-09
-1.987247e+00 4.662244e-09
-1.982996e+00 4.733205e-09
-1.978745e+00 4.805216e-09
-1.974494e+00 4.878291e-09
-1.970243e+00 4.952446e-09
-1.965991e+00 5.027695e-09
-1.961740e+00 5.104055e-09
-1.957489e+00 5.181541e-09
-1.953238e+00 5.260170e-09
-1.948987e+00 5.339958e-09
-1.944736e+00 5.420921e-09
-1.940485e+00 5.503076e-09
-1.936234e+00 5.586440e-09
-1.931983e+00 5.671031e-09
-1.927732e+00 5.756866e-09
-1.923481e+00 5.843962e-09
-1.919230e+00 5.932338e-09
-1.914979e+00 6.022011e-09
-1.910728e+00 6.113001e-09
-1.906477e+00 6.205325e-09
-1.902226e+00 6.299004e-09
-1.897974e+00 6.394055e-09
-1.893723e+00 6.490499e-09
-1.889472e+00 6.588356e-09
-1.885221e+00 6.687644e-09
-1.880970e+00 6.788386e-09
-1.876719e+00 6.890601e-09
-1.872468e+00 6.994309e-09
-1.868217e+00 7.099533e-09
-1.863966e+00 7.206294e-09
-1.859715e+00 7.314613e-09
-1.855464e+00 7.424512e-09
-1.851213e+00 7.536015e-09
-1.846962e+00 7.649142e-09
-1.842711e+00 7.763918e-09
-1.838460e+00 7.880366e-09
-1.834209e+00 7.998508e-09
-1.829957e+00 8.118369e-09
-1.825706e+00 8.239974e-09
-1.821455e+00 8.363347e-09
-1.817204e+00 8.488512e-09
-1.812953e+00 8.615494e-09
-1.808702e+00 8.744320e-09
-1.804451e+00 8.875016e-09
-1.800200e+00 9.007607e-09
-1.795949e+00 9.142120e-09
-1.791698e+00 9.278582e-09
-1.787447e+00 9.417020e-09
-1.783196e+00 9.557462e-09
-1.778945e+00 9.699937e-09
-1.774694e+00 9.844472e-09
-1.770443e+00 9.991097e-09
-1.766192e+00 1.013984e-08
-1.761940e+00 1.029073e-08
-1.757689e+00 1.044380e-08
-1.753438e+00 1.059908e-08
-1.749187e+00 1.075660e-08
-1.744936e+00 1.091639e-08
-1.740685e+00 1.107848e-08
-1.736434e+00 1.124290e-08
-1.732183e+00 1.140969e-08
-1.727932e+00 1.157889e-08
-1.723681e+00 1.175051e-08
-1.719430e+00 1.192461e-08
-1.715179e+00 1.210120e-08
-1.710928e+00 1.228033e-08
-1.706677e+00 1.246203e-08
-1.702426e+00 1.264634e-08
-1.698175e+00 1.283330e-08
-1.693923e+00 1.302293e-08
-1.689672e+00 1.321528e-08
-1.685421e+00 1.341038e-08
-1.681170e+00 1.360828e-08
-1.676919e+00 1.380901e-08
-1.672668e+00 1.401261e-08
-1.668417e+00 1.421912e-08
-1.664166e+00 1.442858e-08
-1.659915e+00 1.464103e-08
-1.655664e+00 1.485652e-08
-1.651413e+00 1.507508e-08
-1.647162e+00 1.529675e-08
-1.642911e+00 1.552159e-08
-1.638660e+00 1.574963e-08
-1.634409e+00 1.598092e-08
-1.630158e+00 1.621550e-08
-1.625906e+00 1.645341e-08
-1.621655e+00 1.669471e-08
-1.617404e+00 1.693945e-08
-1.613153e+00 1.718765e-08
-1.608902e+00 1.743939e-08
-1.604651e+00 1.769469e-08
-1.600400e+00 1.795362e-08
-1.596149e+00 1.821622e-08
-1.591898e+00 1.848254e-08
-1.587647e+00 1.875263e-08
-1.583396e+00 1.902655e-08
-1.579145e+00 1.930435e-08
-1.574894e+00 1.958607e-08
-1.570643e+00 1.987178e-08
-1.566392e+00 2.016153e-08
-1.562141e+00 2.045537e-08
-1.557889e+00 2.075336e-08
-1.553638e+00 2.105556e-08
-1.549387e+00 2.136201e-08
-1.545136e+00 2.167279e-08
-1.540885e+00 2.198795e-08
-1.536634e+00 2.230755e-08
-1.532383e+00 2.263165e-08
