x real_part imag_part
-2.000000e+00 -4.122183e-05 -1.165221e-05
-1.995749e+00 -4.167238e-05 -1.164978e-05
-1.991498e+00 -4.212709e-05 -1.164649e-05
-1.987247e+00 -4.258601e-05 -1.164233e-05
-1.982996e+00 -4.304917e-05 -1.163729e-05
-1.978745e+00 -4.351661e-05 -1.163137e-05
-1.974494e+00 -4.398836e-05 -1.162455e-05
-1.970243e+00 -4.446445e-05 -1.161682e-05
-1.965991e+00 -4.494494e-05 -1.160819e-05
-1.961740e+00 -4.542984e-05 -1.159862e-05
-1.957489e+00 -4.591920e-05 -1.158813e-05
-1.953238e+00 -4.641306e-05 -1.157669e-05
-1.948987e+00 -4.691145e-05 -1.156431e-05
-1.944736e+00 -4.741441e-05 -1.155096e-05
-1.940485e+00 -4.792198e-05 -1.153665e-05
-1.936234e+00 -4.843420e-05 -1.152136e-05
-1.931983e+00 -4.895111e-05 -1.150508e-05
-1.927732e+00 -4.947274e-05 -1.148780e-05
-1.923481e+00 -4.999914e-05 -1.146952e-05
-1.919230e+00 -5.053034e-05 -1.145022e-05
-1.914979e+00 -5.106639e-05 -1.142990e-05
-1.910728e+00 -5.160732e-05 -1.140855e-05
-1.906477e+00 -5.215318e-05 -1.138616e-05
-1.902226e+00 -5.270401e-05 -1.136271e-05
-1.897974e+00 -5.325985e-05 -1.133821e-05
-1.893723e+00 -5.382074e-05 -1.131263e-05
-1.889472e+00 -5.438672e-05 -1.128598e-05
-1.885221e+00 -5.495784e-05 -1.125824e-05
-1.880970e+00 -5.553414e-05 -1.122941e-05
-1.876719e+00 -5.611566e-05 -1.119947e-05
-1.872468e+00 -5.670245e-05 -1.116841e-05
-1.868217e+00 -5.729454e-05 -1.113623e-05
-1.863966e+00 -5.789200e-05 -1.110292e-05
-1.859715e+00 -5.849485e-05 -1.106847e-05
-1.855464e+00 -5.910315e-05 -1.103287e-05
-1.851213e+00 -5.971693e-05 -1.099610e-05
-1.846962e+00 -6.033626e-05 -1.095818e-05
-1.842711e+00 -6.096117e-05 -1.091907e-05
-1.838460e+00 -6.159170e-05 -1.087878e-05
-1.834209e+00 -6.222792e-05 -1.083729e-05
-1.829957e+00 -6.286986e-05 -1.079460e-05
-1.825706e+00 -6.351757e-05 -1.075070e-05
-1.821455e+00 -6.417110e-05 -1.070558e-05
-1.817204e+00 -6.483050e-05 -1.065923e-05
-1.812953e+00 -6.549582e-05 -1.061165e-05
-1.808702e+00 -6.616711e-05 -1.056281e-05
-1.804451e+00 -6.684441e-05 -1.051273e-05
-1.800200e+00 -6.752779e-05 -1.046138e-05
-1.795949e+00 -6.821728e-05 -1.040876e-05
-1.791698e+00 -6.891295e-05 -1.035486e-05
-1.787447e+00 -6.961484e-05 -1.029967e-05
-1.783196e+00 -7.032301e-05 -1.024319e-05
-1.778945e+00 -7.103750e-05 -1.018540e-05
-1.774694e+00 -7.175837e-05 -1.012630e-05
-1.770443e+00 -7.248568e-05 -1.006588e-05
-1.766192e+00 -7.321948e-05 -1.000413e-05
-1.761940e+00 -7.395982e-05 -9.941051e-06
-1.757689e+00 -7.470676e-05 -9.876626e-06
