p rho_p
0.000000e+00 2.349670e-44
7.501875e-03 2.532755e-44
1.500375e-02 2.730183e-44
2.250563e-02 2.943083e-44
3.000750e-02 3.172674e-44
3.750938e-02 3.420271e-44
4.501125e-02 3.687294e-44
5.251313e-02 3.975274e-44
6.001500e-02 4.285864e-44
6.751688e-02 4.620847e-44
7.501875e-02 4.982150e-44
8.252063e-02 5.371848e-44
9.002251e-02 5.792185e-44
9.752438e-02 6.245579e-44
1.050263e-01 6.734643e-44
1.125281e-01 7.262194e-44
1.200300e-01 7.831275e-44
1.275319e-01 8.445167e-44
1.350338e-01 9.107414e-44
1.425356e-01 9.821840e-44
1.500375e-01 1.059257e-43
1.575394e-01 1.142406e-43
1.650413e-01 1.232112e-43
1.725431e-01 1.328893e-43
1.800450e-01 1.433310e-43
1.875469e-01 1.545967e-43
1.950488e-01 1.667517e-43
2.025506e-01 1.798662e-43
2.100525e-01 1.940164e-43
2.175544e-01 2.092842e-43
2.250563e-01 2.257582e-43
2.325581e-01 2.435339e-43
2.400600e-01 2.627144e-43
2.475619e-01 2.834110e-43
2.550638e-01 3.057438e-43
2.625656e-01 3.298425e-43
2.700675e-01 3.558469e-43
2.775694e-01 3.839081e-43
2.850713e-01 4.141890e-43
2.925731e-01 4.468655e-43
3.000750e-01 4.821274e-43
3.075769e-01 5.201796e-43
3.150788e-01 5.612431e-43
3.225806e-01 6.055567e-43
3.300825e-01 6.533777e-43
3.375844e-01 7.049840e-43
3.450863e-01 7.606756e-43
3.525881e-01 8.207760e-43
3.600900e-01 8.856346e-43
3.675919e-01 9.556281e-43
3.750938e-01 1.031163e-42
3.825956e-01 1.112679e-42
3.900975e-01 1.200649e-42
3.975994e-01 1.295584e-42
4.051013e-01 1.398035e-42
4.126032e-01 1.508598e-42
4.201050e-01 1.627915e-42
4.276069e-01 1.756677e-42
4.351088e-01 1.895634e-42
4.426107e-01 2.045590e-42
4.501125e-01 2.207417e-42
4.576144e-01 2.382053e-42
4.651163e-01 2.570510e-42
4.726182e-01 2.773883e-42
4.801200e-01 2.993348e-42
4.876219e-01 3.230179e-42
4.951238e-01 3.485748e-42
5.026257e-01 3.761534e-42
5.101275e-01 4.059134e-42
