t P_alpha_to_beta P_alpha_to_alpha
0.000000e+00 7.861194e-17 1.000000e+00
6.000600e-03 5.220397e-07 9.999995e-01
1.200120e-02 2.088157e-06 9.999979e-01
1.800180e-02 4.698348e-06 9.999953e-01
2.400240e-02 8.352603e-06 9.999916e-01
3.000300e-02 1.305091e-05 9.999869e-01
3.600360e-02 1.879326e-05 9.999812e-01
4.200420e-02 2.557963e-05 9.999744e-01
4.800480e-02 3.341001e-05 9.999666e-01
5.400540e-02 4.228436e-05 9.999577e-01
6.000600e-02 5.220266e-05 9.999478e-01
6.600660e-02 6.316488e-05 9.999368e-01
7.200720e-02 7.517099e-05 9.999248e-01
7.800780e-02 8.822095e-05 9.999118e-01
8.400840e-02 1.023147e-04 9.998977e-01
9.000900e-02 1.174523e-04 9.998825e-01
9.600960e-02 1.336335e-04 9.998664e-01
1.020102e-01 1.508584e-04 9.998491e-01
1.080108e-01 1.691270e-04 9.998309e-01
1.140114e-01 1.884391e-04 9.998116e-01
1.200120e-01 2.087947e-04 9.997912e-01
1.260126e-01 2.301938e-04 9.997698e-01
1.320132e-01 2.526363e-04 9.997474e-01
1.380138e-01 2.761220e-04 9.997239e-01
1.440144e-01 3.006510e-04 9.996993e-01
1.500150e-01 3.262232e-04 9.996738e-01
1.560156e-01 3.528384e-04 9.996472e-01
1.620162e-01 3.804967e-04 9.996195e-01
1.680168e-01 4.091979e-04 9.995908e-01
1.740174e-01 4.389419e-04 9.995611e-01
1.800180e-01 4.697286e-04 9.995303e-01
1.860186e-01 5.015580e-04 9.994984e-01
1.920192e-01 5.344300e-04 9.994656e-01
1.980198e-01 5.683444e-04 9.994317e-01
2.040204e-01 6.033011e-04 9.993967e-01
2.100210e-01 6.393001e-04 9.993607e-01
2.160216e-01 6.763413e-04 9.993237e-01
2.220222e-01 7.144244e-04 9.992856e-01
2.280228e-01 7.535495e-04 9.992465e-01
2.340234e-01 7.937164e-04 9.992063e-01
2.400240e-01 8.349249e-04 9.991651e-01
2.460246e-01 8.771749e-04 9.991228e-01
2.520252e-01 9.204664e-04 9.990795e-01
2.580258e-01 9.647991e-04 9.990352e-01
2.640264e-01 1.010173e-03 9.989898e-01
2.700270e-01 1.056588e-03 9.989434e-01
2.760276e-01 1.104044e-03 9.988960e-01
2.820282e-01 1.152540e-03 9.988475e-01
2.880288e-01 1.202077e-03 9.987979e-01
2.940294e-01 1.252655e-03 9.987473e-01
3.000300e-01 1.304272e-03 9.986957e-01
3.060306e-01 1.356930e-03 9.986431e-01
3.120312e-01 1.410628e-03 9.985894e-01
3.180318e-01 1.465366e-03 9.985346e-01
3.240324e-01 1.521143e-03 9.984789e-01
3.300330e-01 1.577959e-03 9.984220e-01
3.360336e-01 1.635815e-03 9.983642e-01
3.420342e-01 1.694710e-03 9.983053e-01
3.480348e-01 1.754644e-03 9.982454e-01
3.540354e-01 1.815617e-03 9.981844e-01
3.600360e-01 1.877628e-03 9.981224e-01
3.660366e-01 1.940678e-03 9.980593e-01
3.720372e-01 2.004766e-03 9.979952e-01
3.780378e-01 2.069892e-03 9.979301e-01
3.840384e-01 2.136055e-03 9.978639e-01
3.900390e-01 2.203256e-03 9.977967e-01
3.960396e-01 2.271495e-03 9.977285e-01
4.020402e-01 2.340770e-03 9.976592e-01
4.080408e-01 2.411083e-03 9.975889e-01
4.140414e-01 2.482432e-03 9.975176e-01
4.200420e-01 2.554818e-03 9.974452e-01
4.260426e-01 2.628241e-03 9.973718e-01
4.320432e-01 2.702699e-03 9.972973e-01
4.380438e-01 2.778193e-03 9.972218e-01
4.440444e-01 2.854723e-03 9.971453e-01
4.500450e-01 2.932288e-03 9.970677e-01
4.560456e-01 3.010888e-03 9.969891e-01
4.620462e-01 3.090523e-03 9.969095e-01
4.680468e-01 3.171193e-03 9.968288e-01
4.740474e-01 3.252898e-03 9.967471e-01
4.800480e-01 3.335636e-03 9.966644e-01
4.860486e-01 3.419409e-03 9.965806e-01
4.920492e-01 3.504215e-03 9.964958e-01
4.980498e-01 3.590054e-03 9.964099e-01
5.040504e-01 3.676927e-03 9.963231e-01
5.100510e-01 3.764833e-03 9.962352e-01
5.160516e-01 3.853771e-03 9.961462e-01
5.220522e-01 3.943742e-03 9.960563e-01
5.280528e-01 4.034744e-03 9.959653e-01
5.340534e-01 4.126779e-03 9.958732e-01
5.400540e-01 4.219845e-03 9.957802e-01
5.460546e-01 4.313942e-03 9.956861e-01
5.520552e-01 4.409070e-03 9.955909e-01
5.580558e-01 4.505229e-03 9.954948e-01
5.640564e-01 4.602418e-03 9.953976e-01
5.700570e-01 4.700637e-03 9.952994e-01
5.760576e-01 4.799886e-03 9.952001e-01
5.820582e-01 4.900165e-03 9.950998e-01
5.880588e-01 5.001473e-03 9.949985e-01
5.940594e-01 5.103809e-03 9.948962e-01
6.000600e-01 5.207174e-03 9.947928e-01
6.060606e-01 5.311568e-03 9.946884e-01
6.120612e-01 5.416989e-03 9.945830e-01
6.180618e-01 5.523438e-03 9.944766e-01
6.240624e-01 5.630914e-03 9.943691e-01
6.300630e-01 5.739417e-03 9.942606e-01
6.360636e-01 5.848947e-03 9.941511e-01
6.420642e-01 5.959503e-03 9.940405e-01
6.480648e-01 6.071085e-03 9.939289e-01
6.540654e-01 6.183692e-03 9.938163e-01
6.600660e-01 6.297325e-03 9.937027e-01
6.660666e-01 6.411983e-03 9.935880e-01
6.720672e-01 6.527665e-03 9.934723e-01
6.780678e-01 6.644372e-03 9.933556e-01
6.840684e-01 6.762102e-03 9.932379e-01
6.900690e-01 6.880856e-03 9.931191e-01
6.960696e-01 7.000633e-03 9.929994e-01
7.020702e-01 7.121433e-03 9.928786e-01
7.080708e-01 7.243255e-03 9.927567e-01
7.140714e-01 7.366099e-03 9.926339e-01
7.200720e-01 7.489965e-03 9.925100e-01
7.260726e-01 7.614852e-03 9.923851e-01
7.320732e-01 7.740760e-03 9.922592e-01
7.380738e-01 7.867689e-03 9.921323e-01
7.440744e-01 7.995638e-03 9.920044e-01
7.500750e-01 8.124606e-03 9.918754e-01
7.560756e-01 8.254594e-03 9.917454e-01
7.620762e-01 8.385601e-03 9.916144e-01
7.680768e-01 8.517627e-03 9.914824e-01
7.740774e-01 8.650670e-03 9.913493e-01
7.800780e-01 8.784731e-03 9.912153e-01
7.860786e-01 8.919810e-03 9.910802e-01
7.920792e-01 9.055906e-03 9.909441e-01
7.980798e-01 9.193018e-03 9.908070e-01
8.040804e-01 9.331146e-03 9.906689e-01
8.100810e-01 9.470290e-03 9.905297e-01
8.160816e-01 9.610450e-03 9.903896e-01
8.220822e-01 9.751624e-03 9.902484e-01
8.280828e-01 9.893812e-03 9.901062e-01
8.340834e-01 1.003701e-02 9.899630e-01
8.400840e-01 1.018123e-02 9.898188e-01
8.460846e-01 1.032646e-02 9.896735e-01
8.520852e-01 1.047270e-02 9.895273e-01
8.580858e-01 1.061996e-02 9.893800e-01
8.640864e-01 1.076822e-02 9.892318e-01
8.700870e-01 1.091750e-02 9.890825e-01
8.760876e-01 1.106779e-02 9.889322e-01
8.820882e-01 1.121908e-02 9.887809e-01
8.880888e-01 1.137139e-02 9.886286e-01
8.940894e-01 1.152471e-02 9.884753e-01
9.000900e-01 1.167904e-02 9.883210e-01
9.060906e-01 1.183437e-02 9.881656e-01
9.120912e-01 1.199072e-02 9.880093e-01
