t P_alpha_to_beta P_alpha_to_alpha
0.000000e+00 0.000000e+00 1.000000e+00
6.000600e-03 5.219171e-07 9.999995e-01
1.200120e-02 2.087667e-06 9.999979e-01
1.800180e-02 4.697244e-06 9.999953e-01
2.400240e-02 8.350642e-06 9.999916e-01
3.000300e-02 1.304785e-05 9.999870e-01
3.600360e-02 1.878885e-05 9.999812e-01
4.200420e-02 2.557363e-05 9.999744e-01
4.800480e-02 3.340217e-05 9.999666e-01
5.400540e-02 4.227445e-05 9.999577e-01
6.000600e-02 5.219043e-05 9.999478e-01
6.600660e-02 6.315009e-05 9.999368e-01
7.200720e-02 7.515340e-05 9.999248e-01
7.800780e-02 8.820033e-05 9.999118e-01
8.400840e-02 1.022908e-04 9.998977e-01
9.000900e-02 1.174248e-04 9.998826e-01
9.600960e-02 1.336024e-04 9.998664e-01
1.020102e-01 1.508233e-04 9.998492e-01
1.080108e-01 1.690877e-04 9.998309e-01
1.140114e-01 1.883953e-04 9.998116e-01
1.200120e-01 2.087463e-04 9.997913e-01
1.260126e-01 2.301404e-04 9.997699e-01
1.320132e-01 2.525778e-04 9.997474e-01
1.380138e-01 2.760582e-04 9.997239e-01
1.440144e-01 3.005816e-04 9.996994e-01
1.500150e-01 3.261479e-04 9.996739e-01
1.560156e-01 3.527572e-04 9.996472e-01
1.620162e-01 3.804092e-04 9.996196e-01
1.680168e-01 4.091039e-04 9.995909e-01
1.740174e-01 4.388413e-04 9.995612e-01
1.800180e-01 4.696212e-04 9.995304e-01
1.860186e-01 5.014435e-04 9.994986e-01
1.920192e-01 5.343082e-04 9.994657e-01
1.980198e-01 5.682151e-04 9.994318e-01
2.040204e-01 6.031642e-04 9.993968e-01
2.100210e-01 6.391553e-04 9.993608e-01
2.160216e-01 6.761884e-04 9.993238e-01
2.220222e-01 7.142633e-04 9.992857e-01
2.280228e-01 7.533800e-04 9.992466e-01
2.340234e-01 7.935382e-04 9.992065e-01
2.400240e-01 8.347379e-04 9.991653e-01
