t P_alpha_to_beta P_alpha_to_alpha
0.000000e+00 0.000000e+00 1.000000e+00
1.000100e-03 6.885574e-07 9.999993e-01
2.000200e-03 2.754227e-06 9.999972e-01
3.000300e-03 6.197001e-06 9.999938e-01
4.000400e-03 1.101686e-05 9.999890e-01
5.000500e-03 1.721380e-05 9.999828e-01
6.000600e-03 2.478779e-05 9.999752e-01
7.000700e-03 3.373879e-05 9.999663e-01
8.000800e-03 4.406677e-05 9.999559e-01
9.000900e-03 5.577170e-05 9.999442e-01
1.000100e-02 6.885353e-05 9.999311e-01
1.100110e-02 8.331220e-05 9.999167e-01
1.200120e-02 9.914767e-05 9.999009e-01
1.300130e-02 1.163599e-04 9.998836e-01
1.400140e-02 1.349487e-04 9.998651e-01
1.500150e-02 1.549142e-04 9.998451e-01
1.600160e-02 1.762561e-04 9.998237e-01
1.700170e-02 1.989745e-04 9.998010e-01
1.800180e-02 2.230692e-04 9.997769e-01
1.900190e-02 2.485402e-04 9.997515e-01
2.000200e-02 2.753873e-04 9.997246e-01
2.100210e-02 3.036105e-04 9.996964e-01
2.200220e-02 3.332096e-04 9.996668e-01
2.300230e-02 3.641845e-04 9.996358e-01
2.400240e-02 3.965351e-04 9.996035e-01
2.500250e-02 4.302613e-04 9.995697e-01
2.600260e-02 4.653630e-04 9.995346e-01
2.700270e-02 5.018399e-04 9.994982e-01
2.800280e-02 5.396920e-04 9.994603e-01
2.900290e-02 5.789191e-04 9.994211e-01
3.000300e-02 6.195211e-04 9.993805e-01
3.100310e-02 6.614978e-04 9.993385e-01
3.200320e-02 7.048490e-04 9.992952e-01
3.300330e-02 7.495746e-04 9.992504e-01
3.400340e-02 7.956744e-04 9.992043e-01
3.500350e-02 8.431482e-04 9.991569e-01
3.600360e-02 8.919959e-04 9.991080e-01
3.700370e-02 9.422172e-04 9.990578e-01
3.800380e-02 9.938119e-04 9.990062e-01
3.900390e-02 1.046780e-03 9.989532e-01
4.000400e-02 1.101121e-03 9.988989e-01
4.100410e-02 1.156835e-03 9.988432e-01
4.200420e-02 1.213921e-03 9.987861e-01
4.300430e-02 1.272380e-03 9.987276e-01
4.400440e-02 1.332211e-03 9.986678e-01
4.500450e-02 1.393414e-03 9.986066e-01
4.600460e-02 1.455989e-03 9.985440e-01
4.700470e-02 1.519935e-03 9.984801e-01
4.800480e-02 1.585252e-03 9.984147e-01
4.900490e-02 1.651941e-03 9.983481e-01
5.000500e-02 1.720000e-03 9.982800e-01
5.100510e-02 1.789429e-03 9.982106e-01
5.200520e-02 1.860228e-03 9.981398e-01
5.300530e-02 1.932398e-03 9.980676e-01
5.400540e-02 2.005937e-03 9.979941e-01
5.500550e-02 2.080845e-03 9.979192e-01
5.600560e-02 2.157123e-03 9.978429e-01
5.700570e-02 2.234769e-03 9.977652e-01
5.800580e-02 2.313783e-03 9.976862e-01
5.900590e-02 2.394166e-03 9.976058e-01
6.000600e-02 2.475916e-03 9.975241e-01
6.100610e-02 2.559034e-03 9.974410e-01
6.200620e-02 2.643519e-03 9.973565e-01
6.300630e-02 2.729371e-03 9.972706e-01
6.400640e-02 2.816589e-03 9.971834e-01
6.500650e-02 2.905174e-03 9.970948e-01
6.600660e-02 2.995124e-03 9.970049e-01
6.700670e-02 3.086440e-03 9.969136e-01
6.800680e-02 3.179121e-03 9.968209e-01
6.900690e-02 3.273167e-03 9.967268e-01
7.000700e-02 3.368577e-03 9.966314e-01
7.100710e-02 3.465351e-03 9.965346e-01
7.200720e-02 3.563489e-03 9.964365e-01
7.300730e-02 3.662990e-03 9.963370e-01
7.400740e-02 3.763853e-03 9.962361e-01
7.500750e-02 3.866080e-03 9.961339e-01
7.600760e-02 3.969668e-03 9.960303e-01
7.700770e-02 4.074618e-03 9.959254e-01
7.800780e-02 4.180930e-03 9.958191e-01
7.900790e-02 4.288602e-03 9.957114e-01
8.000800e-02 4.397634e-03 9.956024e-01
8.100810e-02 4.508027e-03 9.954920e-01
8.200820e-02 4.619779e-03 9.953802e-01
8.300830e-02 4.732891e-03 9.952671e-01
8.400840e-02 4.847361e-03 9.951526e-01
8.500850e-02 4.963189e-03 9.950368e-01
8.600860e-02 5.080375e-03 9.949196e-01
8.700870e-02 5.198918e-03 9.948011e-01
8.800880e-02 5.318819e-03 9.946812e-01
8.900890e-02 5.440076e-03 9.945599e-01
9.000900e-02 5.562688e-03 9.944373e-01
9.100910e-02 5.686657e-03 9.943133e-01
9.200920e-02 5.811980e-03 9.941880e-01
9.300930e-02 5.938658e-03 9.940613e-01
9.400940e-02 6.066689e-03 9.939333e-01
9.500950e-02 6.196075e-03 9.938039e-01
9.600960e-02 6.326813e-03 9.936732e-01
9.700970e-02 6.458904e-03 9.935411e-01
9.800980e-02 6.592346e-03 9.934077e-01
9.900990e-02 6.727141e-03 9.932729e-01
1.000100e-01 6.863286e-03 9.931367e-01
1.010101e-01 7.000781e-03 9.929992e-01
1.020102e-01 7.139627e-03 9.928604e-01
1.030103e-01 7.279822e-03 9.927202e-01
1.040104e-01 7.421365e-03 9.925786e-01
1.050105e-01 7.564257e-03 9.924357e-01
1.060106e-01 7.708497e-03 9.922915e-01
1.070107e-01 7.854083e-03 9.921459e-01
1.080108e-01 8.001017e-03 9.919990e-01
1.090109e-01 8.149296e-03 9.918507e-01
1.100110e-01 8.298921e-03 9.917011e-01
1.110111e-01 8.449890e-03 9.915501e-01
1.120112e-01 8.602204e-03 9.913978e-01
1.130113e-01 8.755861e-03 9.912441e-01
1.140114e-01 8.910862e-03 9.910891e-01
1.150115e-01 9.067205e-03 9.909328e-01
1.160116e-01 9.224890e-03 9.907751e-01
1.170117e-01 9.383916e-03 9.906161e-01
1.180118e-01 9.544282e-03 9.904557e-01
1.190119e-01 9.705989e-03 9.902940e-01
1.200120e-01 9.869035e-03 9.901310e-01
1.210121e-01 1.003342e-02 9.899666e-01
1.220122e-01 1.019914e-02 9.898009e-01
1.230123e-01 1.036620e-02 9.896338e-01
1.240124e-01 1.053460e-02 9.894654e-01
1.250125e-01 1.070433e-02 9.892957e-01
1.260126e-01 1.087540e-02 9.891246e-01
1.270127e-01 1.104780e-02 9.889522e-01
1.280128e-01 1.122154e-02 9.887785e-01
1.290129e-01 1.139661e-02 9.886034e-01
1.300130e-01 1.157302e-02 9.884270e-01
1.310131e-01 1.175075e-02 9.882492e-01
1.320132e-01 1.192982e-02 9.880702e-01
1.330133e-01 1.211022e-02 9.878898e-01
1.340134e-01 1.229195e-02 9.877081e-01
1.350135e-01 1.247500e-02 9.875250e-01
1.360136e-01 1.265939e-02 9.873406e-01
1.370137e-01 1.284510e-02 9.871549e-01
1.380138e-01 1.303214e-02 9.869679e-01
1.390139e-01 1.322051e-02 9.867795e-01
1.400140e-01 1.341020e-02 9.865898e-01
1.410141e-01 1.360122e-02 9.863988e-01
1.420142e-01 1.379357e-02 9.862064e-01
1.430143e-01 1.398723e-02 9.860128e-01
1.440144e-01 1.418222e-02 9.858178e-01
1.450145e-01 1.437853e-02 9.856215e-01
1.460146e-01 1.457616e-02 9.854238e-01
1.470147e-01 1.477511e-02 9.852249e-01
1.480148e-01 1.497538e-02 9.850246e-01
1.490149e-01 1.517698e-02 9.848230e-01
1.500150e-01 1.537988e-02 9.846201e-01
1.510151e-01 1.558411e-02 9.844159e-01
1.520152e-01 1.578965e-02 9.842103e-01
1.530153e-01 1.599651e-02 9.840035e-01
1.540154e-01 1.620468e-02 9.837953e-01
1.550155e-01 1.641417e-02 9.835858e-01
1.560156e-01 1.662497e-02 9.833750e-01
1.570157e-01 1.683708e-02 9.831629e-01
1.580158e-01 1.705051e-02 9.829495e-01
1.590159e-01 1.726524e-02 9.827348e-01
1.600160e-01 1.748129e-02 9.825187e-01
1.610161e-01 1.769864e-02 9.823014e-01
1.620162e-01 1.791730e-02 9.820827e-01
1.630163e-01 1.813727e-02 9.818627e-01
1.640164e-01 1.835855e-02 9.816414e-01
1.650165e-01 1.858113e-02 9.814189e-01
1.660166e-01 1.880502e-02 9.811950e-01
1.670167e-01 1.903021e-02 9.809698e-01
1.680168e-01 1.925670e-02 9.807433e-01
1.690169e-01 1.948450e-02 9.805155e-01
1.700170e-01 1.971360e-02 9.802864e-01
1.710171e-01 1.994400e-02 9.800560e-01
1.720172e-01 2.017569e-02 9.798243e-01
1.730173e-01 2.040869e-02 9.795913e-01
1.740174e-01 2.064298e-02 9.793570e-01
1.750175e-01 2.087858e-02 9.791214e-01
1.760176e-01 2.111546e-02 9.788845e-01
1.770177e-01 2.135364e-02 9.786464e-01
1.780178e-01 2.159312e-02 9.784069e-01
1.790179e-01 2.183389e-02 9.781661e-01
1.800180e-01 2.207595e-02 9.779241e-01
1.810181e-01 2.231930e-02 9.776807e-01
1.820182e-01 2.256394e-02 9.774361e-01
1.830183e-01 2.280988e-02 9.771901e-01
1.840184e-01 2.305710e-02 9.769429e-01
1.850185e-01 2.330560e-02 9.766944e-01
1.860186e-01 2.355540e-02 9.764446e-01
1.870187e-01 2.380648e-02 9.761935e-01
1.880188e-01 2.405884e-02 9.759412e-01
