t P_alpha_to_beta P_alpha_to_alpha
0.000000e+00 0.000000e+00 1.000000e+00
6.000600e-03 5.736540e-07 9.999994e-01
1.200120e-02 2.294614e-06 9.999977e-01
1.800180e-02 5.162875e-06 9.999948e-01
2.400240e-02 9.178427e-06 9.999908e-01
3.000300e-02 1.434126e-05 9.999857e-01
3.600360e-02 2.065135e-05 9.999793e-01
4.200420e-02 2.810868e-05 9.999719e-01
4.800480e-02 3.671323e-05 9.999633e-01
5.400540e-02 4.646497e-05 9.999535e-01
6.000600e-02 5.736387e-05 9.999426e-01
6.600660e-02 6.940989e-05 9.999306e-01
7.200720e-02 8.260299e-05 9.999174e-01
7.800780e-02 9.694313e-05 9.999031e-01
8.400840e-02 1.124303e-04 9.998876e-01
9.000900e-02 1.290644e-04 9.998709e-01
9.600960e-02 1.468453e-04 9.998532e-01
1.020102e-01 1.657731e-04 9.998342e-01
1.080108e-01 1.858477e-04 9.998142e-01
1.140114e-01 2.070690e-04 9.997929e-01
1.200120e-01 2.294369e-04 9.997706e-01
1.260126e-01 2.529514e-04 9.997470e-01
1.320132e-01 2.776123e-04 9.997224e-01
1.380138e-01 3.034197e-04 9.996966e-01
1.440144e-01 3.303734e-04 9.996696e-01
1.500150e-01 3.584734e-04 9.996415e-01
1.560156e-01 3.877194e-04 9.996123e-01
1.620162e-01 4.181116e-04 9.995819e-01
1.680168e-01 4.496497e-04 9.995504e-01
1.740174e-01 4.823336e-04 9.995177e-01
1.800180e-01 5.161633e-04 9.994838e-01
1.860186e-01 5.511386e-04 9.994489e-01
1.920192e-01 5.872595e-04 9.994127e-01
1.980198e-01 6.245257e-04 9.993755e-01
2.040204e-01 6.629373e-04 9.993371e-01
2.100210e-01 7.024939e-04 9.992975e-01
2.160216e-01 7.431957e-04 9.992568e-01
2.220222e-01 7.850423e-04 9.992150e-01
2.280228e-01 8.280337e-04 9.991720e-01
2.340234e-01 8.721697e-04 9.991278e-01
2.400240e-01 9.174502e-04 9.990825e-01
2.460246e-01 9.638750e-04 9.990361e-01
2.520252e-01 1.011444e-03 9.989886e-01
2.580258e-01 1.060157e-03 9.989398e-01
2.640264e-01 1.110014e-03 9.988900e-01
2.700270e-01 1.161015e-03 9.988390e-01
2.760276e-01 1.213159e-03 9.987868e-01
2.820282e-01 1.266446e-03 9.987336e-01
2.880288e-01 1.320877e-03 9.986791e-01
2.940294e-01 1.376451e-03 9.986235e-01
3.000300e-01 1.433168e-03 9.985668e-01
3.060306e-01 1.491027e-03 9.985090e-01
3.120312e-01 1.550029e-03 9.984500e-01
3.180318e-01 1.610173e-03 9.983898e-01
3.240324e-01 1.671459e-03 9.983285e-01
3.300330e-01 1.733887e-03 9.982661e-01
3.360336e-01 1.797457e-03 9.982025e-01
3.420342e-01 1.862168e-03 9.981378e-01
3.480348e-01 1.928020e-03 9.980720e-01
3.540354e-01 1.995014e-03 9.980050e-01
3.600360e-01 2.063148e-03 9.979369e-01
3.660366e-01 2.132423e-03 9.978676e-01
3.720372e-01 2.202839e-03 9.977972e-01
3.780378e-01 2.274394e-03 9.977256e-01
3.840384e-01 2.347090e-03 9.976529e-01
3.900390e-01 2.420925e-03 9.975791e-01
3.960396e-01 2.495900e-03 9.975041e-01
4.020402e-01 2.572013e-03 9.974280e-01
4.080408e-01 2.649266e-03 9.973507e-01
4.140414e-01 2.727658e-03 9.972723e-01
4.200420e-01 2.807188e-03 9.971928e-01
4.260426e-01 2.887856e-03 9.971121e-01
4.320432e-01 2.969662e-03 9.970303e-01
4.380438e-01 3.052606e-03 9.969474e-01
4.440444e-01 3.136688e-03 9.968633e-01
4.500450e-01 3.221906e-03 9.967781e-01
4.560456e-01 3.308261e-03 9.966917e-01
4.620462e-01 3.395753e-03 9.966042e-01
4.680468e-01 3.484382e-03 9.965156e-01
4.740474e-01 3.574146e-03 9.964259e-01
4.800480e-01 3.665046e-03 9.963350e-01
4.860486e-01 3.757081e-03 9.962429e-01
4.920492e-01 3.850252e-03 9.961497e-01
4.980498e-01 3.944557e-03 9.960554e-01
5.040504e-01 4.039997e-03 9.959600e-01
5.100510e-01 4.136571e-03 9.958634e-01
5.160516e-01 4.234279e-03 9.957657e-01
5.220522e-01 4.333121e-03 9.956669e-01
5.280528e-01 4.433096e-03 9.955669e-01
5.340534e-01 4.534203e-03 9.954658e-01
5.400540e-01 4.636444e-03 9.953636e-01
5.460546e-01 4.739816e-03 9.952602e-01
5.520552e-01 4.844321e-03 9.951557e-01
5.580558e-01 4.949957e-03 9.950500e-01
5.640564e-01 5.056725e-03 9.949433e-01
5.700570e-01 5.164623e-03 9.948354e-01
5.760576e-01 5.273652e-03 9.947263e-01
5.820582e-01 5.383811e-03 9.946162e-01
5.880588e-01 5.495101e-03 9.945049e-01
5.940594e-01 5.607519e-03 9.943925e-01
6.000600e-01 5.721067e-03 9.942789e-01
6.060606e-01 5.835743e-03 9.941643e-01
6.120612e-01 5.951548e-03 9.940485e-01
6.180618e-01 6.068481e-03 9.939315e-01
6.240624e-01 6.186542e-03 9.938135e-01
6.300630e-01 6.305730e-03 9.936943e-01
6.360636e-01 6.426044e-03 9.935740e-01
6.420642e-01 6.547485e-03 9.934525e-01
6.480648e-01 6.670053e-03 9.933299e-01
6.540654e-01 6.793746e-03 9.932063e-01
6.600660e-01 6.918564e-03 9.930814e-01
6.660666e-01 7.044507e-03 9.929555e-01
6.720672e-01 7.171575e-03 9.928284e-01
6.780678e-01 7.299766e-03 9.927002e-01
6.840684e-01 7.429082e-03 9.925709e-01
6.900690e-01 7.559520e-03 9.924405e-01
6.960696e-01 7.691082e-03 9.923089e-01
7.020702e-01 7.823765e-03 9.921762e-01
7.080708e-01 7.957571e-03 9.920424e-01
7.140714e-01 8.092498e-03 9.919075e-01
7.200720e-01 8.228547e-03 9.917715e-01
7.260726e-01 8.365716e-03 9.916343e-01
7.320732e-01 8.504005e-03 9.914960e-01
7.380738e-01 8.643414e-03 9.913566e-01
7.440744e-01 8.783942e-03 9.912161e-01
7.500750e-01 8.925589e-03 9.910744e-01
7.560756e-01 9.068354e-03 9.909316e-01
7.620762e-01 9.212238e-03 9.907878e-01
7.680768e-01 9.357238e-03 9.906428e-01
7.740774e-01 9.503356e-03 9.904966e-01
7.800780e-01 9.650591e-03 9.903494e-01
7.860786e-01 9.798941e-03 9.902011e-01
7.920792e-01 9.948407e-03 9.900516e-01
7.980798e-01 1.009899e-02 9.899010e-01
8.040804e-01 1.025068e-02 9.897493e-01
8.100810e-01 1.040349e-02 9.895965e-01
8.160816e-01 1.055742e-02 9.894426e-01
8.220822e-01 1.071245e-02 9.892875e-01
8.280828e-01 1.086860e-02 9.891314e-01
8.340834e-01 1.102586e-02 9.889741e-01
8.400840e-01 1.118423e-02 9.888158e-01
8.460846e-01 1.134372e-02 9.886563e-01
8.520852e-01 1.150431e-02 9.884957e-01
8.580858e-01 1.166602e-02 9.883340e-01
8.640864e-01 1.182883e-02 9.881712e-01
8.700870e-01 1.199275e-02 9.880072e-01
8.760876e-01 1.215778e-02 9.878422e-01
8.820882e-01 1.232392e-02 9.876761e-01
8.880888e-01 1.249117e-02 9.875088e-01
8.940894e-01 1.265952e-02 9.873405e-01
9.000900e-01 1.282898e-02 9.871710e-01
9.060906e-01 1.299955e-02 9.870005e-01
9.120912e-01 1.317122e-02 9.868288e-01
9.180918e-01 1.334399e-02 9.866560e-01
9.240924e-01 1.351787e-02 9.864821e-01
9.300930e-01 1.369286e-02 9.863071e-01
9.360936e-01 1.386894e-02 9.861311e-01
9.420942e-01 1.404613e-02 9.859539e-01
9.480948e-01 1.422442e-02 9.857756e-01
