t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
0.000000e+00 0.000000e+00 1.000000e+00 3.540367e-01
4.000400e-04 1.123205e-06 9.999989e-01 3.540367e-01
8.000800e-04 4.492812e-06 9.999955e-01 3.540367e-01
1.200120e-03 1.010880e-05 9.999899e-01 3.540367e-01
1.600160e-03 1.797113e-05 9.999820e-01 3.540367e-01
2.000200e-03 2.807975e-05 9.999719e-01 3.540367e-01
2.400240e-03 4.043460e-05 9.999596e-01 3.540367e-01
2.800280e-03 5.503559e-05 9.999450e-01 3.540367e-01
3.200320e-03 7.188263e-05 9.999281e-01 3.540367e-01
3.600360e-03 9.097560e-05 9.999090e-01 3.540367e-01
4.000400e-03 1.123144e-04 9.998877e-01 3.540367e-01
4.400440e-03 1.358988e-04 9.998641e-01 3.540367e-01
4.800480e-03 1.617288e-04 9.998383e-01 3.540367e-01
5.200520e-03 1.898041e-04 9.998102e-01 3.540367e-01
5.600560e-03 2.201246e-04 9.997799e-01 3.540367e-01
6.000600e-03 2.526900e-04 9.997473e-01 3.540367e-01
6.400640e-03 2.875002e-04 9.997125e-01 3.540367e-01
6.800680e-03 3.245548e-04 9.996754e-01 3.540367e-01
7.200720e-03 3.638538e-04 9.996361e-01 3.540367e-01
7.600760e-03 4.053967e-04 9.995946e-01 3.540367e-01
8.000800e-03 4.491834e-04 9.995508e-01 3.540367e-01
8.400840e-03 4.952136e-04 9.995048e-01 3.540367e-01
8.800880e-03 5.434868e-04 9.994565e-01 3.540367e-01
9.200920e-03 5.940029e-04 9.994060e-01 3.540367e-01
9.600960e-03 6.467615e-04 9.993532e-01 3.540367e-01
1.000100e-02 7.017623e-04 9.992982e-01 3.540367e-01
1.040104e-02 7.590048e-04 9.992410e-01 3.540367e-01
1.080108e-02 8.184887e-04 9.991815e-01 3.540367e-01
1.120112e-02 8.802136e-04 9.991198e-01 3.540367e-01
1.160116e-02 9.441792e-04 9.990558e-01 3.540367e-01
1.200120e-02 1.010385e-03 9.989896e-01 3.540367e-01
1.240124e-02 1.078830e-03 9.989212e-01 3.540367e-01
1.280128e-02 1.149515e-03 9.988505e-01 3.540367e-01
1.320132e-02 1.222439e-03 9.987776e-01 3.540367e-01
1.360136e-02 1.297601e-03 9.987024e-01 3.540367e-01
1.400140e-02 1.375000e-03 9.986250e-01 3.540367e-01
1.440144e-02 1.454637e-03 9.985454e-01 3.540367e-01
1.480148e-02 1.536511e-03 9.984635e-01 3.540367e-01
1.520152e-02 1.620622e-03 9.983794e-01 3.540367e-01
1.560156e-02 1.706967e-03 9.982930e-01 3.540367e-01
1.600160e-02 1.795548e-03 9.982045e-01 3.540367e-01
1.640164e-02 1.886364e-03 9.981136e-01 3.540367e-01
1.680168e-02 1.979414e-03 9.980206e-01 3.540367e-01
1.720172e-02 2.074697e-03 9.979253e-01 3.540367e-01
1.760176e-02 2.172212e-03 9.978278e-01 3.540367e-01
1.800180e-02 2.271960e-03 9.977280e-01 3.540367e-01
1.840184e-02 2.373939e-03 9.976261e-01 3.540367e-01
1.880188e-02 2.478149e-03 9.975219e-01 3.540367e-01
1.920192e-02 2.584589e-03 9.974154e-01 3.540367e-01
1.960196e-02 2.693258e-03 9.973067e-01 3.540367e-01
2.000200e-02 2.804156e-03 9.971958e-01 3.540367e-01
2.040204e-02 2.917282e-03 9.970827e-01 3.540367e-01
2.080208e-02 3.032635e-03 9.969674e-01 3.540367e-01
2.120212e-02 3.150215e-03 9.968498e-01 3.540367e-01
2.160216e-02 3.270020e-03 9.967300e-01 3.540367e-01
2.200220e-02 3.392050e-03 9.966080e-01 3.540367e-01
2.240224e-02 3.516303e-03 9.964837e-01 3.540367e-01
2.280228e-02 3.642781e-03 9.963572e-01 3.540367e-01
2.320232e-02 3.771480e-03 9.962285e-01 3.540367e-01
2.360236e-02 3.902401e-03 9.960976e-01 3.540367e-01
2.400240e-02 4.035543e-03 9.959645e-01 3.540367e-01
2.440244e-02 4.170904e-03 9.958291e-01 3.540367e-01
2.480248e-02 4.308485e-03 9.956915e-01 3.540367e-01
2.520252e-02 4.448283e-03 9.955517e-01 3.540367e-01
2.560256e-02 4.590298e-03 9.954097e-01 3.540367e-01
2.600260e-02 4.734530e-03 9.952655e-01 3.540367e-01
2.640264e-02 4.880977e-03 9.951190e-01 3.540367e-01
2.680268e-02 5.029638e-03 9.949704e-01 3.540367e-01
2.720272e-02 5.180512e-03 9.948195e-01 3.540367e-01
2.760276e-02 5.333598e-03 9.946664e-01 3.540367e-01
2.800280e-02 5.488896e-03 9.945111e-01 3.540367e-01
2.840284e-02 5.646404e-03 9.943536e-01 3.540367e-01
2.880288e-02 5.806121e-03 9.941939e-01 3.540367e-01
2.920292e-02 5.968046e-03 9.940320e-01 3.540367e-01
2.960296e-02 6.132178e-03 9.938678e-01 3.540367e-01
3.000300e-02 6.298516e-03 9.937015e-01 3.540367e-01
3.040304e-02 6.467059e-03 9.935329e-01 3.540367e-01
3.080308e-02 6.637806e-03 9.933622e-01 3.540367e-01
3.120312e-02 6.810755e-03 9.931892e-01 3.540367e-01
3.160316e-02 6.985906e-03 9.930141e-01 3.540367e-01
3.200320e-02 7.163257e-03 9.928367e-01 3.540367e-01
3.240324e-02 7.342807e-03 9.926572e-01 3.540367e-01
3.280328e-02 7.524555e-03 9.924754e-01 3.540367e-01
3.320332e-02 7.708500e-03 9.922915e-01 3.540367e-01
3.360336e-02 7.894641e-03 9.921054e-01 3.540367e-01
3.400340e-02 8.082976e-03 9.919170e-01 3.540367e-01
3.440344e-02 8.273504e-03 9.917265e-01 3.540367e-01
3.480348e-02 8.466223e-03 9.915338e-01 3.540367e-01
3.520352e-02 8.661134e-03 9.913389e-01 3.540367e-01
3.560356e-02 8.858233e-03 9.911418e-01 3.540367e-01
3.600360e-02 9.057521e-03 9.909425e-01 3.540367e-01
3.640364e-02 9.258995e-03 9.907410e-01 3.540367e-01
3.680368e-02 9.462655e-03 9.905373e-01 3.540367e-01
3.720372e-02 9.668498e-03 9.903315e-01 3.540367e-01
3.760376e-02 9.876524e-03 9.901235e-01 3.540367e-01
3.800380e-02 1.008673e-02 9.899133e-01 3.540367e-01
3.840384e-02 1.029912e-02 9.897009e-01 3.540367e-01
3.880388e-02 1.051369e-02 9.894863e-01 3.540367e-01
3.920392e-02 1.073043e-02 9.892696e-01 3.540367e-01
3.960396e-02 1.094935e-02 9.890507e-01 3.540367e-01
4.000400e-02 1.117044e-02 9.888296e-01 3.540367e-01
4.040404e-02 1.139370e-02 9.886063e-01 3.540367e-01
4.080408e-02 1.161914e-02 9.883809e-01 3.540367e-01
4.120412e-02 1.184675e-02 9.881533e-01 3.540367e-01
4.160416e-02 1.207652e-02 9.879235e-01 3.540367e-01
4.200420e-02 1.230846e-02 9.876915e-01 3.540367e-01
4.240424e-02 1.254257e-02 9.874574e-01 3.540367e-01
4.280428e-02 1.277884e-02 9.872212e-01 3.540367e-01
4.320432e-02 1.301727e-02 9.869827e-01 3.540367e-01
4.360436e-02 1.325787e-02 9.867421e-01 3.540367e-01
4.400440e-02 1.350062e-02 9.864994e-01 3.540367e-01
4.440444e-02 1.374553e-02 9.862545e-01 3.540367e-01
4.480448e-02 1.399259e-02 9.860074e-01 3.540367e-01
4.520452e-02 1.424181e-02 9.857582e-01 3.540367e-01
4.560456e-02 1.449318e-02 9.855068e-01 3.540367e-01
4.600460e-02 1.474671e-02 9.852533e-01 3.540367e-01
4.640464e-02 1.500238e-02 9.849976e-01 3.540367e-01
4.680468e-02 1.526020e-02 9.847398e-01 3.540367e-01
4.720472e-02 1.552016e-02 9.844798e-01 3.540367e-01
4.760476e-02 1.578227e-02 9.842177e-01 3.540367e-01
4.800480e-02 1.604652e-02 9.839535e-01 3.540367e-01
4.840484e-02 1.631291e-02 9.836871e-01 3.540367e-01
4.880488e-02 1.658144e-02 9.834186e-01 3.540367e-01
4.920492e-02 1.685211e-02 9.831479e-01 3.540367e-01
4.960496e-02 1.712491e-02 9.828751e-01 3.540367e-01
5.000500e-02 1.739985e-02 9.826002e-01 3.540367e-01
5.040504e-02 1.767692e-02 9.823231e-01 3.540367e-01
5.080508e-02 1.795611e-02 9.820439e-01 3.540367e-01
5.120512e-02 1.823744e-02 9.817626e-01 3.540367e-01
5.160516e-02 1.852089e-02 9.814791e-01 3.540367e-01
5.200520e-02 1.880647e-02 9.811935e-01 3.540367e-01
