t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
0.000000e+00 0.000000e+00 1.000000e+00 3.540367e-01
4.000400e-04 1.106598e-06 9.999989e-01 3.540367e-01
8.000800e-04 4.426387e-06 9.999956e-01 3.540367e-01
1.200120e-03 9.959345e-06 9.999900e-01 3.540367e-01
1.600160e-03 1.770544e-05 9.999823e-01 3.540367e-01
2.000200e-03 2.766462e-05 9.999723e-01 3.540367e-01
2.400240e-03 3.983682e-05 9.999602e-01 3.540367e-01
2.800280e-03 5.422197e-05 9.999458e-01 3.540367e-01
3.200320e-03 7.081998e-05 9.999292e-01 3.540367e-01
3.600360e-03 8.963074e-05 9.999104e-01 3.540367e-01
4.000400e-03 1.106541e-04 9.998893e-01 3.540367e-01
4.400440e-03 1.338900e-04 9.998661e-01 3.540367e-01
4.800480e-03 1.593383e-04 9.998407e-01 3.540367e-01
5.200520e-03 1.869988e-04 9.998130e-01 3.540367e-01
5.600560e-03 2.168713e-04 9.997831e-01 3.540367e-01
6.000600e-03 2.489556e-04 9.997510e-01 3.540367e-01
6.400640e-03 2.832516e-04 9.997167e-01 3.540367e-01
6.800680e-03 3.197590e-04 9.996802e-01 3.540367e-01
7.200720e-03 3.584776e-04 9.996415e-01 3.540367e-01
7.600760e-03 3.994071e-04 9.996006e-01 3.540367e-01
8.000800e-03 4.425474e-04 9.995575e-01 3.540367e-01
8.400840e-03 4.878981e-04 9.995121e-01 3.540367e-01
8.800880e-03 5.354589e-04 9.994645e-01 3.540367e-01
9.200920e-03 5.852296e-04 9.994148e-01 3.540367e-01
9.600960e-03 6.372098e-04 9.993628e-01 3.540367e-01
1.000100e-02 6.913992e-04 9.993086e-01 3.540367e-01
1.040104e-02 7.477975e-04 9.992522e-01 3.540367e-01
1.080108e-02 8.064044e-04 9.991936e-01 3.540367e-01
1.120112e-02 8.672194e-04 9.991328e-01 3.540367e-01
1.160116e-02 9.302421e-04 9.990698e-01 3.540367e-01
1.200120e-02 9.954723e-04 9.990045e-01 3.540367e-01
1.240124e-02 1.062909e-03 9.989371e-01 3.540367e-01
1.280128e-02 1.132553e-03 9.988674e-01 3.540367e-01
1.320132e-02 1.204403e-03 9.987956e-01 3.540367e-01
1.360136e-02 1.278458e-03 9.987215e-01 3.540367e-01
1.400140e-02 1.354719e-03 9.986453e-01 3.540367e-01
1.440144e-02 1.433184e-03 9.985668e-01 3.540367e-01
1.480148e-02 1.513854e-03 9.984861e-01 3.540367e-01
1.520152e-02 1.596727e-03 9.984033e-01 3.540367e-01
1.560156e-02 1.681804e-03 9.983182e-01 3.540367e-01
1.600160e-02 1.769083e-03 9.982309e-01 3.540367e-01
1.640164e-02 1.858565e-03 9.981414e-01 3.540367e-01
1.680168e-02 1.950247e-03 9.980498e-01 3.540367e-01
1.720172e-02 2.044131e-03 9.979559e-01 3.540367e-01
1.760176e-02 2.140216e-03 9.978598e-01 3.540367e-01
1.800180e-02 2.238500e-03 9.977615e-01 3.540367e-01
1.840184e-02 2.338983e-03 9.976610e-01 3.540367e-01
1.880188e-02 2.441665e-03 9.975583e-01 3.540367e-01
1.920192e-02 2.546545e-03 9.974535e-01 3.540367e-01
1.960196e-02 2.653623e-03 9.973464e-01 3.540367e-01
2.000200e-02 2.762896e-03 9.972371e-01 3.540367e-01
2.040204e-02 2.874366e-03 9.971256e-01 3.540367e-01
2.080208e-02 2.988031e-03 9.970120e-01 3.540367e-01
2.120212e-02 3.103891e-03 9.968961e-01 3.540367e-01
2.160216e-02 3.221944e-03 9.967781e-01 3.540367e-01
2.200220e-02 3.342190e-03 9.966578e-01 3.540367e-01
2.240224e-02 3.464629e-03 9.965354e-01 3.540367e-01
2.280228e-02 3.589259e-03 9.964107e-01 3.540367e-01
2.320232e-02 3.716080e-03 9.962839e-01 3.540367e-01
2.360236e-02 3.845091e-03 9.961549e-01 3.540367e-01
2.400240e-02 3.976291e-03 9.960237e-01 3.540367e-01
2.440244e-02 4.109679e-03 9.958903e-01 3.540367e-01
2.480248e-02 4.245255e-03 9.957547e-01 3.540367e-01
2.520252e-02 4.383018e-03 9.956170e-01 3.540367e-01
2.560256e-02 4.522966e-03 9.954770e-01 3.540367e-01
2.600260e-02 4.665099e-03 9.953349e-01 3.540367e-01
2.640264e-02 4.809417e-03 9.951906e-01 3.540367e-01
2.680268e-02 4.955917e-03 9.950441e-01 3.540367e-01
2.720272e-02 5.104600e-03 9.948954e-01 3.540367e-01
2.760276e-02 5.255464e-03 9.947445e-01 3.540367e-01
2.800280e-02 5.408508e-03 9.945915e-01 3.540367e-01
2.840284e-02 5.563731e-03 9.944363e-01 3.540367e-01
2.880288e-02 5.721134e-03 9.942789e-01 3.540367e-01
2.920292e-02 5.880713e-03 9.941193e-01 3.540367e-01
2.960296e-02 6.042469e-03 9.939575e-01 3.540367e-01
3.000300e-02 6.206400e-03 9.937936e-01 3.540367e-01
3.040304e-02 6.372506e-03 9.936275e-01 3.540367e-01
3.080308e-02 6.540785e-03 9.934592e-01 3.540367e-01
3.120312e-02 6.711237e-03 9.932888e-01 3.540367e-01
3.160316e-02 6.883859e-03 9.931161e-01 3.540367e-01
3.200320e-02 7.058652e-03 9.929413e-01 3.540367e-01
3.240324e-02 7.235614e-03 9.927644e-01 3.540367e-01
3.280328e-02 7.414744e-03 9.925853e-01 3.540367e-01
3.320332e-02 7.596041e-03 9.924040e-01 3.540367e-01
3.360336e-02 7.779503e-03 9.922205e-01 3.540367e-01
3.400340e-02 7.965130e-03 9.920349e-01 3.540367e-01
3.440344e-02 8.152920e-03 9.918471e-01 3.540367e-01
3.480348e-02 8.342873e-03 9.916571e-01 3.540367e-01
3.520352e-02 8.534987e-03 9.914650e-01 3.540367e-01
3.560356e-02 8.729260e-03 9.912707e-01 3.540367e-01
3.600360e-02 8.925692e-03 9.910743e-01 3.540367e-01
3.640364e-02 9.124282e-03 9.908757e-01 3.540367e-01
3.680368e-02 9.325027e-03 9.906750e-01 3.540367e-01
3.720372e-02 9.527928e-03 9.904721e-01 3.540367e-01
