t P_alpha_to_beta P_alpha_to_alpha 2sin2theta_cos2theta
0.000000e+00 7.861194e-17 1.000000e+00 3.540367e-01
4.000400e-04 1.237995e-06 9.999988e-01 3.540367e-01
8.000800e-04 4.951968e-06 9.999950e-01 3.540367e-01
1.200120e-03 1.114189e-05 9.999889e-01 3.540367e-01
1.600160e-03 1.980769e-05 9.999802e-01 3.540367e-01
2.000200e-03 3.094931e-05 9.999691e-01 3.540367e-01
2.400240e-03 4.456663e-05 9.999554e-01 3.540367e-01
2.800280e-03 6.065954e-05 9.999393e-01 3.540367e-01
3.200320e-03 7.922788e-05 9.999208e-01 3.540367e-01
3.600360e-03 1.002715e-04 9.998997e-01 3.540367e-01
4.000400e-03 1.237902e-04 9.998762e-01 3.540367e-01
4.400440e-03 1.497837e-04 9.998502e-01 3.540367e-01
4.800480e-03 1.782519e-04 9.998217e-01 3.540367e-01
5.200520e-03 2.091944e-04 9.997908e-01 3.540367e-01
5.600560e-03 2.426110e-04 9.997574e-01 3.540367e-01
6.000600e-03 2.785014e-04 9.997215e-01 3.540367e-01
6.400640e-03 3.168653e-04 9.996831e-01 3.540367e-01
6.800680e-03 3.577022e-04 9.996423e-01 3.540367e-01
7.200720e-03 4.010119e-04 9.995990e-01 3.540367e-01
7.600760e-03 4.467939e-04 9.995532e-01 3.540367e-01
8.000800e-03 4.950478e-04 9.995050e-01 3.540367e-01
8.400840e-03 5.457732e-04 9.994542e-01 3.540367e-01
8.800880e-03 5.989696e-04 9.994010e-01 3.540367e-01
9.200920e-03 6.546365e-04 9.993454e-01 3.540367e-01
9.600960e-03 7.127734e-04 9.992872e-01 3.540367e-01
1.000100e-02 7.733799e-04 9.992266e-01 3.540367e-01
1.040104e-02 8.364552e-04 9.991635e-01 3.540367e-01
1.080108e-02 9.019989e-04 9.990980e-01 3.540367e-01
1.120112e-02 9.700104e-04 9.990300e-01 3.540367e-01
1.160116e-02 1.040489e-03 9.989595e-01 3.540367e-01
1.200120e-02 1.113434e-03 9.988866e-01 3.540367e-01
1.240124e-02 1.188845e-03 9.988112e-01 3.540367e-01
1.280128e-02 1.266721e-03 9.987333e-01 3.540367e-01
1.320132e-02 1.347062e-03 9.986529e-01 3.540367e-01
1.360136e-02 1.429866e-03 9.985701e-01 3.540367e-01
1.400140e-02 1.515133e-03 9.984849e-01 3.540367e-01
1.440144e-02 1.602863e-03 9.983971e-01 3.540367e-01
1.480148e-02 1.693053e-03 9.983069e-01 3.540367e-01
1.520152e-02 1.785705e-03 9.982143e-01 3.540367e-01
1.560156e-02 1.880816e-03 9.981192e-01 3.540367e-01
1.600160e-02 1.978385e-03 9.980216e-01 3.540367e-01
1.640164e-02 2.078413e-03 9.979216e-01 3.540367e-01
1.680168e-02 2.180898e-03 9.978191e-01 3.540367e-01
1.720172e-02 2.285839e-03 9.977142e-01 3.540367e-01
1.760176e-02 2.393235e-03 9.976068e-01 3.540367e-01
1.800180e-02 2.503085e-03 9.974969e-01 3.540367e-01
1.840184e-02 2.615389e-03 9.973846e-01 3.540367e-01
1.880188e-02 2.730144e-03 9.972699e-01 3.540367e-01
1.920192e-02 2.847351e-03 9.971526e-01 3.540367e-01
1.960196e-02 2.967007e-03 9.970330e-01 3.540367e-01
2.000200e-02 3.089113e-03 9.969109e-01 3.540367e-01
2.040204e-02 3.213666e-03 9.967863e-01 3.540367e-01
2.080208e-02 3.340666e-03 9.966593e-01 3.540367e-01
2.120212e-02 3.470112e-03 9.965299e-01 3.540367e-01
2.160216e-02 3.602002e-03 9.963980e-01 3.540367e-01
2.200220e-02 3.736335e-03 9.962637e-01 3.540367e-01
2.240224e-02 3.873110e-03 9.961269e-01 3.540367e-01
2.280228e-02 4.012326e-03 9.959877e-01 3.540367e-01
2.320232e-02 4.153981e-03 9.958460e-01 3.540367e-01
2.360236e-02 4.298074e-03 9.957019e-01 3.540367e-01
2.400240e-02 4.444604e-03 9.955554e-01 3.540367e-01
2.440244e-02 4.593570e-03 9.954064e-01 3.540367e-01
2.480248e-02 4.744969e-03 9.952550e-01 3.540367e-01
2.520252e-02 4.898802e-03 9.951012e-01 3.540367e-01
2.560256e-02 5.055065e-03 9.949449e-01 3.540367e-01
2.600260e-02 5.213759e-03 9.947862e-01 3.540367e-01
2.640264e-02 5.374881e-03 9.946251e-01 3.540367e-01
2.680268e-02 5.538430e-03 9.944616e-01 3.540367e-01
2.720272e-02 5.704405e-03 9.942956e-01 3.540367e-01
2.760276e-02 5.872803e-03 9.941272e-01 3.540367e-01
2.800280e-02 6.043624e-03 9.939564e-01 3.540367e-01
2.840284e-02 6.216866e-03 9.937831e-01 3.540367e-01
2.880288e-02 6.392528e-03 9.936075e-01 3.540367e-01
2.920292e-02 6.570607e-03 9.934294e-01 3.540367e-01
2.960296e-02 6.751102e-03 9.932489e-01 3.540367e-01
3.000300e-02 6.934011e-03 9.930660e-01 3.540367e-01
3.040304e-02 7.119334e-03 9.928807e-01 3.540367e-01
3.080308e-02 7.307067e-03 9.926929e-01 3.540367e-01
3.120312e-02 7.497210e-03 9.925028e-01 3.540367e-01
3.160316e-02 7.689761e-03 9.923102e-01 3.540367e-01
3.200320e-02 7.884717e-03 9.921153e-01 3.540367e-01
3.240324e-02 8.082078e-03 9.919179e-01 3.540367e-01
