t P_alpha_to_beta P_alpha_to_alpha
0.000000e+00 0.000000e+00 1.000000e+00
4.000400e-04 1.106585e-06 9.999989e-01
8.000800e-04 4.426335e-06 9.999956e-01
1.200120e-03 9.959228e-06 9.999900e-01
1.600160e-03 1.770523e-05 9.999823e-01
2.000200e-03 2.766429e-05 9.999723e-01
2.400240e-03 3.983635e-05 9.999602e-01
2.800280e-03 5.422133e-05 9.999458e-01
3.200320e-03 7.081914e-05 9.999292e-01
3.600360e-03 8.962969e-05 9.999104e-01
4.000400e-03 1.106528e-04 9.998893e-01
4.400440e-03 1.338885e-04 9.998661e-01
4.800480e-03 1.593364e-04 9.998407e-01
5.200520e-03 1.869966e-04 9.998130e-01
5.600560e-03 2.168687e-04 9.997831e-01
6.000600e-03 2.489527e-04 9.997510e-01
6.400640e-03 2.832482e-04 9.997168e-01
6.800680e-03 3.197552e-04 9.996802e-01
7.200720e-03 3.584734e-04 9.996415e-01
7.600760e-03 3.994024e-04 9.996006e-01
8.000800e-03 4.425422e-04 9.995575e-01
8.400840e-03 4.878923e-04 9.995121e-01
8.800880e-03 5.354526e-04 9.994645e-01
9.200920e-03 5.852227e-04 9.994148e-01
9.600960e-03 6.372023e-04 9.993628e-01
1.000100e-02 6.913911e-04 9.993086e-01
1.040104e-02 7.477888e-04 9.992522e-01
1.080108e-02 8.063949e-04 9.991936e-01
1.120112e-02 8.672092e-04 9.991328e-01
1.160116e-02 9.302312e-04 9.990698e-01
1.200120e-02 9.954606e-04 9.990045e-01
1.240124e-02 1.062897e-03 9.989371e-01
1.280128e-02 1.132540e-03 9.988675e-01
1.320132e-02 1.204389e-03 9.987956e-01
1.360136e-02 1.278443e-03 9.987216e-01
1.400140e-02 1.354703e-03 9.986453e-01
1.440144e-02 1.433168e-03 9.985668e-01
1.480148e-02 1.513836e-03 9.984862e-01
1.520152e-02 1.596709e-03 9.984033e-01
1.560156e-02 1.681784e-03 9.983182e-01
1.600160e-02 1.769062e-03 9.982309e-01
1.640164e-02 1.858543e-03 9.981415e-01
1.680168e-02 1.950225e-03 9.980498e-01
1.720172e-02 2.044108e-03 9.979559e-01
1.760176e-02 2.140191e-03 9.978598e-01
1.800180e-02 2.238474e-03 9.977615e-01
1.840184e-02 2.338956e-03 9.976610e-01
1.880188e-02 2.441637e-03 9.975584e-01
1.920192e-02 2.546516e-03 9.974535e-01
1.960196e-02 2.653592e-03 9.973464e-01
